idParroquia;nomParroquia ;idCanton 
1;CUENCA;1
2;BAÑOS;1
3;CUMBE;1
4;CHAUCHA;1
5;CHECA (JIDCAY) ;1
6;CHIQUINTAD;1
7;LLACAO;1
8;MOLLETURO;1
9;NULTI;1
10;OCTAVIO CORDERO PALACIOS (SANTA ROSA) ;1
11;PACCHA;1
12;QUINGEO;1
13;RICAURTE;1
14;SAN JOAQUIN;1
15;SANTA ANA;1
16;SAYAUSI;1
17;SIDCAY;1
18;SININCAY;1
19;TARQUI;1
20;TURI;1
21;VALLE;1
22;VICTORIA DEL PORTETE (IRQUIS);1
23;GIRON;2
24;ASUNCION;2
25;SAN GERARDO;2
26;GUALACEO;3
27;DANIEL CORDOVA TORAL (EL ORIENTE) ;3
28;JADAN;3
29;MARIANO MORENO;3
30;REMIGIO CRESPO TORAL (GULAG);3
31;SAN JUAN;3
32;ZHIDMAD;3
33;LUIS CORDERO VEGA;3
34;SIMON BOLIVAR (CAB. EN GAÑANZOL);3
35; NABON;4
36;COCHAPATA;4
37;EL PROGRESO (CAB.EN ZHOTA) ;4
38;LAS NIEVES (CHAYA);4
39;PAUTE;5
40;BULAN (JOSE VICTOR IZQUIERDO) ;5
41;CHICAN (GUILLERMO ORTEGA) ;5
42;EL CABO  ;5
43;GUARAINAG;5
44;SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO) ;5
45;TOMEBAMBA;5
46;DUG DUG;5
47; PUCARA;6
48;SAN RAFAEL DE SHARUG;6
49; SAN FERNANDO;7
50;CHUMBLIN;7
51; SANTA ISABEL;8
52;ABDON CALDERON  (LA UNION) ;8
53;EL CARMEN DE PIJILI;8
54;ZHAGLLI (SHAGLLI);8
55; SIGSIG;9
56;CUCHIL (CUTCHIL) ;9
57;JIMA (GIMA);9
58;GUEL;9
59;LUDO;9
60;SAN BARTOLOME;9
61;SAN JOSE DE RARANGA;9
62;SAN FELIPE DE OÑA;10
63;SUSUDEL;10
64;CHORDELEG;11
65;PRINCIPAL;11
66;LA UNION;11
67;LUIS GALARZA ORELLANA (CAB.EN DELEGSOL) ;11
68;SAN MARTIN DE PUZHIO;11
69; EL PAN;12
70;SAN VICENTE;12
71; SEVILLA DE ORO;13
72;AMALUZA;13
73;PALMAS;13
74; GUACHAPALA;14
75;CAMILO PONCE ENRIQUEZ;15
76; GUARANDA;16
77;FACUNDO VELA;16
78;JULIO E. MORENO (CATANAHUAN GRANDE);16
79;SALINAS;16
80;SAN LORENZO;16
81;SAN SIMON (YACOTO);16
82;SANTAFE (SANTA FE);16
83;SIMIATUG;16
84;SAN LUIS DE PAMBIL;16
85; CHILLANES;17
86;SAN JOSE DEL TAMBO (TAMBOPAMBA);17
87;SAN JOSE DE CHIMBO;18
88;ASUNCION (ASANCOTO) ;18
89;MAGDALENA (CHAPACOTO);18
90;SAN SEBASTIAN;18
91;TELIMBELA;18
92; ECHEANDIA;19
93;SAN MIGUEL;20
94;BALSAPAMBA;20
95;BILOVAN;20
96;REGULO DE MORA;20
97;SAN PABLO  (SAN PABLO DE ATENAS);20
98;SANTIAGO;20
99;SAN VICENTE;20
100; CALUMA ;21
101; LAS NAVES;22
102;AZOGUES;23
103;COJITAMBO;23
104;GUAPAN;23
105;JAVIER LOYOLA (CHUQUIPATA) ;23
106;LUIS CORDERO;23
107;PINDILIG;23
108;RIVERA;23
109;SAN MIGUEL;23
110;TADAY;23
111; BIBLIAN;24
112;NAZON (CAB. EN PAMPA DE DOMINGUEZ);24
113;SAN FRANCISCO DE SAGEO;24
114;TURUPAMBA;24
115;JERUSALEN;24
116;CAÑAR;25
117;CHONTAMARCA;25
118;CHOROCOPTE;25
119;GENERAL MORALES (SOCARTE) ;25
120;GUALLETURO;25
121;HONORATO VASQUEZ (TAMBO VIEJO) ;25
122;INGAPIRCA;25
123;JUNCAL;25
124;SAN ANTONIO;25
125;ZHUD;25
126;VENTURA;25
127;DUCUR;25
128; LA TRONCAL;26
129;MANUEL J. CALLE;26
130;PANCHO NEGRO;26
131;EL TAMBO ;27
132; DELEG;28
133;SOLANO;28
134;SUSCAL;29
135; TULCAN;30
136;EL CARMELO (EL PUN) ;30
137;JULIO ANDRADE (OREJUELA) ;30
138;MALDONADO;30
139;PIOTER;30
140;TOBAR DONOSO (LA BOCANA DE CAMUMBI) ;30
141;TUFIÑO;30
142;URBINA (TAYA);30
143;EL CHICAL;30
144;SANTA MARTHA DE CUBA;30
145; BOLIVAR;31
146;GARCIA MORENO;31
147;LOS ANDES;31
148;MONTE OLIVO;31
149;SAN VICENTE DE PUSIR;31
150;SAN RAFAEL;31
151;EL ANGEL;32
152;EL GOALTAL;32
153;LA LIBERTAD (ALIZO);32
154;SAN ISIDRO;32
155;MIRA (CHONTAHUASI);33
156;CONCEPCION;33
157;JIJON Y CAAMAÑO (CAB. EN RIO BLANCO);33
158;JUAN MONTALVO (SAN IGNACIO DE QUIL);33
159;SAN GABRIEL;34
160;CRISTOBAL COLON;34
161;CHITAN DE NAVARRETE;34
162;FERNANDEZ SALVADOR;34
163;LA PAZ;34
164;PIARTAL;34
165;HUACA;35
166;MARISCAL SUCRE;35
167;LATACUNGA;36
168;ALAQUES (ALAQUEZ) ;36
169;BELISARIO QUEVEDO (GUANAILIN);36
170;GUAITACAMA (GUAYTACAMA) ;36
171;JOSEGUANGO BAJO;36
172;MULALO;36
173;11 DE NOVIEMBRE (ILINCHISI);36
174;POALO;36
175;SAN JUAN DE PASTOCALLE;36
176;TANICUCHI;36
177;TOACASO;36
178;LA MANA;37
179;GUASAGANDA (CAB.EN GUASAGANDA CENTRO);37
180;PUCAYACU;37
181;EL CORAZON;38
182;MORASPUNGO;38
183;PINLLOPATA;38
184;RAMON CAMPAÑA;38
185;PUJILI;39
186;ANGAMARCA;39
187;GUANGAJE;39
188;LA VICTORIA;39
189;PILALO;39
190;TINGO;39
191;ZUMBAHUA;39
192;SAN MIGUEL;40
193;ANTONIO JOSE HOLGUIN  (SANTA LUCIA);40
194;CUSUBAMBA;40
195;MULALILLO;40
196;MULLIQUINDIL (SANTA ANA);40
197;PANSALEO;40
198;SAQUISILI, ;41
199;CANCHAGUA;41
200;CHANTILIN;41
201;COCHAPAMBA;41
202;SIGCHOS;42
203;CHUGCHILLAN;42
204;ISINLIVI;42
205;LAS PAMPAS;42
206;PALO QUEMADO;42
207;RIOBAMBA;43
208;CACHA (CAB. EN MACHANGARA) ;43
209;CALPI;43
210;CUBIJIES;43
211;FLORES;43
212;LICAN;43
213;LICTO;43
214;PUNGALA;43
215;PUNIN;43
216;QUIMIAG;43
217;SAN JUAN;43
218;SAN LUIS;43
219;ALAUSI;44
220;ACHUPALLAS;44
221;GUASUNTOS;44
222;HUIGRA;44
223;MULTITUD;44
224;PISTISHI (NARIZ DEL DIABLO);44
225;PUMALLACTA;44
226;SEVILLA;44
227;SIBAMBE;44
228;TIXAN;44
229;VILLA LA UNION (CAJABAMBA);45
230;CAÑI;45
231;COLUMBE;45
232;JUAN DE VELASCO (PANGOR);45
233;SANTIAGO DE QUITO (CAB. EN SAN ANTONIO DE QUITO);45
234;CHAMBO;46
235;CHUNCHI;47
236;CAPZOL;47
237;COMPUD;47
238;GONZOL;47
239;LLAGOS;47
240;GUAMOTE;48
241;CEBADAS;48
242;PALMIRA;48
243;GUANO;49
244;GUANANDO;49
245;ILAPO;49
246;LA PROVIDENCIA;49
247;SAN ANDRES;49
248;SAN GERARDO DE PACAICAGUAN;49
249;SAN ISIDRO DE PATULU;49
250;SAN JOSE DEL CHAZO;49
251;SANTA FE DE GALAN;49
252;VALPARAISO;49
253;PALLATANGA;50
254;PENIPE;51
255;EL ALTAR;51
256;MATUS;51
257;PUELA;51
258;SAN ANTONIO DE BAYUSHIG;51
259;LA CANDELARIA;51
260;BILBAO (CAB.EN QUILLUYACU);51
261;CUMANDA;52
262;MACHALA;53
263;EL RETIRO;53
264;ARENILLAS;54
265;CHACRAS;54
266;PALMALES;54
267;CARCABON;54
268;PACCHA;55
269;AYAPAMBA;55
270;CORDONCILLO;55
271;MILAGRO;55
272;SAN JOSE;55
273;SAN JUAN DE CERRO AZUL;55
274;BALSAS;56
275;BELLAMARIA;56
276;CHILLA;57
277;EL GUABO;58
278;BARBONES (SUCRE) ;58
279;LA IBERIA;58
280;TENDALES (CAB.EN PUERTO TENDALES);58
281;RIO BONITO;58
282;HUAQUILLAS;59
283;MARCABELI;60
284;EL INGENIO;60
285;PASAJE;61
286;BUENAVISTA;61
287;CASACAY;61
288;LA PEAÑA;61
289;PROGRESO;61
290;UZHCURRUMI;61
291;CAÑAQUEMADA ;61
292;PIÑAS;62
293;CAPIRO (CAB. EN LA CAPILLA DE CAPIRO);62
294;LA BOCANA;62
295;MOROMORO (CAB. EN EL VADO);62
296;PIEDRAS;62
297;SAN ROQUE (AMBROSIO MALDONADO);62
298;SARACAY;62
299;PORTOVELO;63
300;CURTINCAPA;63
301;MORALES;63
302;SALATI;63
303;SANTA ROSA;64
304;BELLAVISTA;64
305;JAMBELI;64
306;LA AVANZADA;64
307;SAN ANTONIO;64
308;TORATA;64
309;VICTORIA;64
310;BELLAMARIA;64
311;ZARUMA;65
312;ABAÑIN;65
313;ARCAPAMBA;65
314;GUANAZAN;65
315;GUIZHAGUIÑA;65
316;HUERTAS;65
317;MALVAS;65
318;MULUNCAY GRANDE;65
319;SINSAO;65
320;SALVIAS;65
321;LA VICTORIA;66
322;LA LIBERTAD;66
323;EL PARAISO ;66
324;SAN ISIDRO;66
325;ESMERALDAS;67
326;CAMARONES (CAB. EN SAN VICENTE) ;67
327;CRNEL. CARLOS CONCHA TORRES (CAB.EN HUELE);67
328;CHINCA;67
329;MAJUA;67
330;SAN MATEO;67
331;TABIAZO;67
332;TACHINA;67
333;VUELTA LARGA;67
334;VALDEZ (LIMONES);68
335;ANCHAYACU;68
336;ATAHUALPA (CAB. EN CAMARONES) ;68
337;BORBON;68
338;LA TOLA;68
339;LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO);68
340;MALDONADO;68
341;PAMPANAL DE BOLIVAR     ;68
342;SAN FRANCISCO DE ONZOLE;68
343;SANTO DOMINGO DE ONZOLE;68
344;SELVA ALEGRE;68
345;TELEMBI;68
346;COLON ELOY DEL MARIA;68
347;SAN JOSE DE CAYAPAS;68
348;TIMBIRE  ;68
349;MUISNE;69
350;BOLIVAR;69
351;DAULE;69
352;GALERA;69
353;QUINGUE (OLMEDO PERDOMO FRANCO) ;69
354;SALIMA;69
355;SAN FRANCISCO;69
356;SAN GREGORIO;69
357;SAN JOSE DE CHAMANGA (CAB.EN CHAMANGA);69
358;ROSA ZARATE (QUININDE);70
359;CUBE;70
360;CHURA (CHANCAMA) (CAB. EN EL YERBERO);70
361;MALIMPIA;70
362;VICHE;70
363;LA UNION;70
364;SAN LORENZO;71
365;ALTO TAMBO (CAB. EN GUADUAL) ;71
366;ANCON (PICHANGAL) (CAB. EN PALMA REAL) ;71
367;CALDERON;71
368;CARONDELET;71
369;5 DE JUNIO (CAB. EN UIMBI) ;71
370;CONCEPCION;71
371;MATAJE (CAB. EN SANTANDER);71
372;SAN JAVIER DE CACHAVI (CAB. EN SAN JAVIER) ;71
373;SANTA RITA;71
374;TAMBILLO;71
375;TULULBI (CAB. EN RICAURTE);71
376;URBINA;71
377;ATACAMES;72
378;LA UNION;72
379;SUA  (CAB. EN LA BOCANA) ;72
380;TONCHIGÜE;72
381;TONSUPA;72
382;RIOVERDE;73
383;CHONTADURO;73
384;CHUMUNDE ;73
385;LAGARTO;73
386;MONTALVO (CAB. EN HORQUETA) ;73
387;ROCAFUERTE;73
388;LA CONCORDIA;74
389;GUAYAQUIL;75
390;JUAN GOMEZ RENDON (PROGRESO) ;75
391;MORRO;75
392;POSORJA;75
393;PUNA;75
394;TENGUEL;75
395;ALFREDO BAQUERIZO MORENO (JUJAN);76
396;BALAO;77
397;BALZAR;78
398;COLIMES;79
399;SAN JACINTO;79
400;DAULE;80
401;JUAN BAUTISTA AGUIRRE (LOS TINTOS) ;80
402;LAUREL;80
403;LIMONAL;80
404;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);80
405;ELOY ALFARO (DURAN);81
406;VELASCO IBARRA (EL EMPALME);82
407;GUAYAS (PUEBLO NUEVO) ;82
408;EL ROSARIO;82
409;EL TRIUNFO;83
410;MILAGRO;84
411;CHOBO;84
412;MARISCAL SUCRE (HUAQUES);84
413;ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA) ;84
414;NARANJAL;85
415;JESUS MARIA;85
416;SAN CARLOS;85
417;SANTA ROSA DE FLANDES;85
418;TAURA;85
419;NARANJITO;86
420;PALESTINA;87
421;PEDRO CARBO;88
422;VALLE DE LA VIRGEN ;88
423;SABANILLA;88
424;SAMBORONDON;89
425;TARIFA;89
426;SANTA LUCIA;90
427;EL SALITRE (LAS RAMAS);91
428;GRAL. VERNAZA (DOS ESTEROS) ;91
429;LA VICTORIA (ÑAUZA);91
430;JUNQUILLAL;91
431;SAN JACINTO DE YAGUACHI;92
432;GRAL. PEDRO J. MONTERO (BOLICHE) ;92
433;YAGUACHI VIEJO (CONE);92
434;VIRGEN DE FATIMA;92
435;GENERAL VILLAMIL (PLAYAS);93
436;SIMON BOLIVAR;94
437;CRNEL.LORENZO DE GARAICOA (PEDREGAL);94
438;CORONEL MARCELINO MARIDUEÑA (SAN CARLOS);95
439;LOMAS DE SARGENTILLO;96
440;NARCISA DE JESUS;97
441;GENERAL ANTONIO ELIZALDE (BUCAY);98
442;ISIDRO AYORA;99
443;SAN MIGUEL DE IBARRA;100
444;AMBUQUI;100
445;ANGOCHAGUA;100
446;CAROLINA;100
447;LA ESPERANZA;100
448;LITA;100
449;SALINAS;100
450;SAN ANTONIO;100
451;ATUNTAQUI;101
452;IMBAYA (SAN LUIS DE COBUENDO) ;101
453;SAN FRANCISCO DE NATABUELA;101
454;SAN JOSE DE CHALTURA;101
455;SAN ROQUE;101
456;COTACACHI;102
457;APUELA;102
458;GARCIA MORENO  (LLURIMAGUA) ;102
459;IMANTAG;102
460;PEÑAHERRERA;102
461;PLAZA GUTIERREZ;102
462;QUIROGA;102
463;6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE);102
464;VACAS GALINDO (EL CHURO) (CAB.EN SAN MIGUEL ALTO);102
465;OTAVALO;103
466;DR. MIGUEL EGAS CABEZAS (PEGUCHE) ;103
467;EUGENIO ESPEJO (CALPAQUI) ;103
468;GONZALEZ SUAREZ;103
469;PATAQUI;103
470;SAN JOSE DE QUICHINCHE ;103
471;SAN JUAN DE ILUMAN;103
472;SAN PABLO;103
473;SAN RAFAEL;103
474;SELVA ALEGRE (CAB.EN SAN MIGUEL DE PAMPLONA);103
475;PIMAMPIRO;104
476;CHUGA;104
477;MARIANO ACOSTA;104
478;SAN FRANCISCO DE SIGSIPAMBA;104
479;URCUQUI;105
480;CAHUASQUI;105
481;LA MERCED DE BUENOS AIRES;105
482;PABLO ARENAS;105
483;SAN BLAS;105
484;TUMBABIRO;105
485;LOJA;106
486;CHANTACO;106
487;CHUQUIRIBAMBA;106
488;EL CISNE;106
489;GUALEL;106
490;JIMBILLA;106
491;MALACATOS (VALLADOLID) ;106
492;SAN LUCAS;106
493;SAN PEDRO DE VILCABAMBA;106
494;SANTIAGO;106
495;TAQUIL (MIGUEL RIOFRIO);106
496;VILCABAMBA  (VICTORIA);106
497;YANGANA (ARSENIO CASTILLO);106
498;QUINARA;106
499;CARIAMANGA;107
500;COLAISACA;107
501;EL LUCERO;107
502;UTUANA;107
503;SANGUILLIN;107
504;CATAMAYO (LA TOMA);108
505;EL TAMBO;108
506;GUAYQUICHUMA;108
507;SAN PEDRO DE LA BENDITA;108
508;ZAMBI;108
509;CELICA;109
510;CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE);109
511;POZUL (SAN JUAN DE POZUL);109
512;SABANILLA;109
513;TNTE. MAXIMILIANO RODRIGUEZ LOAIZA ;109
514;CHAGUARPAMBA;110
515;BUENAVISTA;110
516;EL ROSARIO;110
517;SANTA RUFINA;110
518;AMARILLOS;110
519;AMALUZA;111
520;BELLAVISTA;111
521;JIMBURA;111
522;SANTA TERESITA;111
523;27 DE ABRIL (CAB. EN LA NARANJA) ;111
524;EL INGENIO;111
525;EL AIRO;111
526;GONZANAMA;112
527;CHANGAIMINA (LA LIBERTAD) ;112
